Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Pear Spear,Restore [heal]4 health|Gain [mana]1 mana,1,pierceattackself(-4); inflictself(MANA); sfx(~_heal~); sfx(~_mana~[;]~~[;]0.2);,Revitalize,REQUIRE6,,GREEN,change_power,change_power,,,0,YES,NO,,1,,,,,,,,,,,
Pear Spear_upgraded,Restore [heal]6 health|Gain [mana]1 mana,1,pierceattackself(-6); inflictself(MANA); sfx(~_heal~); sfx(~_mana~[;]~~[;]0.2);,Revitalize,REQUIRE6,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Pear Spear_downgraded,Restore [heal]2 health|Gain [mana]1 mana,1,pierceattackself(-2); inflictself(MANA); sfx(~_heal~); sfx(~_mana~[;]~~[;]0.2);,Revitalize,REQUIRE6,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Pansy,[sword]1[;] add [weaken]1 weaken. Repeat|per [mana]6 mana you have,1,if(simulation){var times = getstatusself(MANA)/6; for(x in 0...times+1){ attack(1); inflict(WEAKEN); };};,Theremin,COUNTDOWN,6,ORANGE,change_power,change_power,,,0,YES,NO,,1,,,,,,,,if(simulation){}else{function makespike(x|y|delay){var spike = new elements.Equipment(~MF Blank Equipment~); spike.temporary_thisturnonly  = true; self.equipment.push(spike); spike.show=true; spike.width = 400; spike.x = x; spike.y = y+200; spike.height=400; spike.script = ~attack(1); inflict(WEAKEN); sfx(\~_weaken\~); sfxdamage(target|~+d+~);~; spike.fulldescription = ~~; spike.displayname = ~~; spike.changecolour(~ORANGE~); spike.doequipmentaction(self|target|(self.isplayer ? 1 : -1)|[]|delay|true); spike.animate(~flashandshake~);}; var times = getstatusself(MANA)/6; for(x in 0...times+1){ makespike(e.x + (e.width)/2 - 200|e.y+((self.isplayer ? 100 : -100)*x)|x/7);};};,,,
Pansy_upgraded,[sword]1[;] add [weaken]1 weaken. Repeat|per [mana]4 mana you have,1,if(simulation){var times = getstatusself(MANA)/4; for(x in 0...times+1){ attack(1); inflict(WEAKEN); };};,Theremin,COUNTDOWN,6,ORANGE,,,,,0,YES,NO,,,,,,,,,,if(simulation){}else{function makespike(x|y|delay){var spike = new elements.Equipment(~MF Blank Equipment~); spike.temporary_thisturnonly  = true; self.equipment.push(spike); spike.show=true; spike.width = 400; spike.x = x; spike.y = y+200; spike.height=400; spike.script = ~attack(1); inflict(WEAKEN); sfx(\~_weaken\~); sfxdamage(target|~+d+~);~; spike.fulldescription = ~~; spike.displayname = ~~; spike.changecolour(~ORANGE~); spike.doequipmentaction(self|target|(self.isplayer ? 1 : -1)|[]|delay|true); spike.animate(~flashandshake~);}; var times = getstatusself(MANA)/4; for(x in 0...times+1){ makespike(e.x + (e.width)/2 - 200|e.y+((self.isplayer ? 100 : -100)*x)|x/7);};};,,,
Pansy_downgraded,[sword]1[;] add [weaken]1 weaken. Repeat|per [mana]8 mana you have,1,if(simulation){var times = getstatusself(MANA)/8; for(x in 0...times+1){ attack(1); inflict(WEAKEN); };};,Theremin,COUNTDOWN,6,ORANGE,,,,,0,YES,NO,,,,,,,,,,if(simulation){}else{function makespike(x|y|delay){var spike = new elements.Equipment(~MF Blank Equipment~); spike.temporary_thisturnonly  = true; self.equipment.push(spike); spike.show=true; spike.width = 400; spike.x = x; spike.y = y+200; spike.height=400; spike.script = ~attack(1); inflict(WEAKEN); sfx(\~_weaken\~); sfxdamage(target|~+d+~);~; spike.fulldescription = ~~; spike.displayname = ~~; spike.changecolour(~ORANGE~); spike.doequipmentaction(self|target|(self.isplayer ? 1 : -1)|[]|delay|true); spike.animate(~flashandshake~);}; var times = getstatusself(MANA)/8; for(x in 0...times+1){ makespike(e.x + (e.width)/2 - 200|e.y+((self.isplayer ? 100 : -100)*x)|x/7);};};,,,
Twolip,Deal [sword]2 damage|Gain [mana]2 mana,1,attack(2); sfxdamage(target[;]2); inflictself(MANA[;]2); sfx(~_mana~);,Pea Gun,REQUIRE2,,RED,change_power,change_power,,,0,NO,NO,,1,,,,,,,,,,,inflictself(MANA[;]2); sfx(~_mana~);
Twolip_upgraded,Do [sword]2[;] gain [mana]2|,1,attack(2); sfxdamage(target[;]2); inflictself(MANA[;]2); sfx(~_mana~);,Pea Gun,REQUIRE2,,RED,,,,,2,NO,NO,,,,,,,,,,,,,inflictself(MANA[;]2); sfx(~_mana~);
Twolip_downgraded,Gain [mana]2 mana,1,inflictself(MANA[;]2); sfx(~_mana~);,Pea Gun,REQUIRE2|REQUIRE2,,RED,,,,,0,YES,NO,,,,,,,,,,,,,
Marigold,Duplicate a dice|(Cost [mana]3: re-equip this),1,givedice([d[;]d]);,Clone Device,MAX4,,YELLOW,change_power,change_power,,,1,YES,NO,hidereuseable,1,,,,,,,,if(getstatusself(MANA) >= 3){ removestatusself(MANA[;]3); sfx(~_mana~); e.usesleft += 1; };,,,
Marigold_upgraded,Duplicate a dice|(Cost [mana]3: re-equip this),1,givedice([d[;]d]);,Clone Device,NORMAL,,YELLOW,,,,,1,YES,NO,hidereuseable,,,,,,,,,if(getstatusself(MANA) >= 3){ removestatusself(MANA[;]3); sfx(~_mana~); e.usesleft += 1; };,,,
Marigold_downgraded,Duplicate a dice|(Cost [mana]3: re-equip this),1,givedice([d[;]d]);,Clone Device,MAX2,,YELLOW,,,,none,1,YES,NO,hidereuseable,,,,,,,,,if(getstatusself(MANA) >= 3){ removestatusself(MANA[;]3); sfx(~_mana~); e.usesleft += 1; };,,,
Lavender,Restore [heal]<d6> health|(Cost [mana]<d6>: +[shield]<d6> shield),1,attackself(-d); sfx(~_heal~); if(getstatusself(MANA) >= d){ removestatusself(MANA[;]d); inflictself(SHIELD[;]d); sfx(~_shield~[;]~~[;]0.2); };,Revitalize,MAX3,,PURPLE,change_power,change_power,,,0,YES,NO,,1,,,,,,,,,,,
Lavender_upgraded,Restore [heal]<d6> health|(Cost [mana]<d6>: +[shield]<d6> shield),1,attackself(-d); sfx(~_heal~); if(getstatusself(MANA) >= d){ removestatusself(MANA[;]d); inflictself(SHIELD[;]d); sfx(~_shield~[;]~~[;]0.2); };,Revitalize,MAX4,,PURPLE,,,,,0,YES,NO,,,,,,,,,,,,,
Lavender_downgraded,Restore [heal]<d6> health|(Cost [mana]<d6>: +[shield]<d6> shield),1,attackself(-d); sfx(~_heal~); if(getstatusself(MANA) >= d){ removestatusself(MANA[;]d); inflictself(SHIELD[;]d); sfx(~_shield~[;]~~[;]0.2); };,Revitalize,MAX2,,PURPLE,,,,,0,YES,NO,,,,,,,,,,,,,
Begonia,Do [sword]4 per enemy [mana] mana|([curse]Curse self each turn),1,if(getstatus(MANA) > 0){ attack(getstatus(MANA) * 4); sfxdamage(target[;]getstatus(MANA) * 4); };,Megacurse,NORMAL,,ORANGE,change_power,change_power,,,0,YES,NO,excludefromrandomlists|witchonly,1,,,,inflictself(CURSE); sfx(~_curse~); e.animate(~flashandshake~);,,,,,,,
Begonia_upgraded,Do [sword]6 per enemy [mana] mana|([curse]Curse self each turn),1,if(getstatus(MANA) > 0){ attack(getstatus(MANA) * 6); sfxdamage(target[;]getstatus(MANA) * 6); };,Megacurse,NORMAL,,ORANGE,,,,,0,YES,NO,excludefromrandomlists|witchonly,,,,,inflictself(CURSE); sfx(~_curse~); e.animate(~flashandshake~);,,,,,,,
Begonia_downgraded,Do [sword]3 per enemy [mana] mana|([curse]Curse self each turn),1,if(getstatus(MANA) > 0){ attack(getstatus(MANA) * 3); sfxdamage(target[;]getstatus(MANA) * 3); };,Megacurse,NORMAL,,ORANGE,,,,,0,YES,NO,excludefromrandomlists|witchonly,,,,,inflictself(CURSE); sfx(~_curse~); e.animate(~flashandshake~);,,,,,,,
Dogwood,Deal [sword]<d6> damage|(If [mana]>=<d6>: do [sword]<d6> more,1,if(getstatusself(MANA) >= d){ attack(d*2); sfxdamage(target[;]d*2); }else{ attack(d); sfxdamage(target[;]d); };,Plasma Gun,MAX5,,RED,change_power,change_power,,none,0,NO,NO,,1,,,,,,,,,,,
Dogwood_upgraded,Deal [sword]<d6> damage|(If [mana]>=<d6>: do [sword]<d6> more,1,if(getstatusself(MANA) >= d){ attack(d*2); sfxdamage(target[;]d*2); }else{ attack(d); sfxdamage(target[;]d); };,Plasma Gun,NORMAL,,RED,,,,none,0,NO,NO,,,,,,,,,,,,,
Dogwood_downgraded,Deal [sword]<d6> damage|(If [mana]>=<d6>: do [sword]<d6> more,1,if(getstatusself(MANA) >= d){ attack(d*2); sfxdamage(target[;]d*2); }else{ attack(d); sfxdamage(target[;]d); };,Plasma Gun,MAX3,,RED,,,,none,0,NO,NO,,,,,,,,,,,,,
Camellia,Duplicate a dice|(If [mana]>=<d6>: get 1 more copy),1,if(getstatusself(MANA) >=d){ givedice([d[;]d[;]d]); sfx(~_mana~); }else{ givedice([d[;]d]); sfx(~_thinghappens~); };,Clone Device,MAX4,,RED,change_power,change_power,,,0,YES,NO,,2,,,,,,,,,,,
Camellia_upgraded,Duplicate a dice|(If [mana]>=<d6>: get 1 more copy),1,if(getstatusself(MANA) >=d){ givedice([d[;]d[;]d]); sfx(~_mana~); }else{ givedice([d[;]d]); sfx(~_thinghappens~); };,Clone Device,NORMAL,,RED,,,,,0,YES,NO,,,,,,,,,,,,,
Camellia_downgraded,Duplicate a dice,1,givedice([d[;]d]); sfx(~_thinghappens~);,Clone Device,MAX4,,RED,,,,,0,YES,NO,,,,,,,,,,,,,
Wisteria,Gain [mana]1 mana|On 6[;] get [mana]2 more,1,inflictself(MANA); if(d == 6){ inflictself(MANA[;]2); }; sfx(~_mana~);,Lava Drop,EVEN,,PURPLE,change_power,change_power,,,0,YES,NO,,1,,,,,,,,,,,
Wisteria_upgraded,Gain [mana]1 mana|On 6[;] get [mana]2 more,1,inflictself(MANA); if(d == 6){ inflictself(MANA[;]2); }; sfx(~_mana~);,Lava Drop,NORMAL,,PURPLE,,,,,0,YES,NO,,,,,,,,,,,,,
Wisteria_downgraded,Gain [mana]1 mana,1,inflictself(MANA); sfx(~_mana~);,Lava Drop,EVEN,,PURPLE,,,,,0,YES,NO,,,,,,,,,,,,,
Plurale Tantrum,Fix your items' grammar|(Always offered as scrap),1,for(eq in self.equipment){ if(eq.ready && eq.availablethisturn){ var d = eq.fulldescription; var l = d.split(~dice~); if(l.length > 1){ eq.fulldescription = l.join(~dices~); eq.animate(~flashandshake~); }; }; }; sfx(~openchest~);,Regenerate,EVEN,,GRAY,change_power,change_power,,,0,YES,NO,appearsforparts,,,,,,,,,,,,
Plurale Tantrum_upgraded,Fix your items' grammar|(Always offered as scrap),1,for(eq in self.equipment){ if(eq.ready && eq.availablethisturn){ var d = eq.fulldescription; var l = d.split(~dice~); if(l.length > 1){ eq.fulldescription = l.join(~dices~); eq.animate(~flashandshake~); }; }; }; sfx(~openchest~);,Regenerate,NORMAL,,GRAY,,,,,0,YES,NO,appearsforparts,,,,,,,,,,,,
Plurale Tantrum_downgraded,Ficks your item's grammer|(Always offered as scrap),1,for(eq in self.equipment){ if(eq.ready && eq.availablethisturn){ var d = eq.fulldescription; var l = d.split(~dice~); if(l.length > 1){ eq.fulldescription = l.join(~douse~); eq.animate(~flashandshake~); }; }; }; sfx(~openchest~);,Regenerate,EVEN,,GRAY,,,,,0,YES,NO,appearsforparts,,,,,,,,,,,,
Blood Regen,Lose [heart]<d6>[;] but heal [heal]2|hp per turn for [regen]<d6> turns,1,if(simulation){ bonus(-1000); }else{ pierceattackself(d); sfx(~_drain~); inflictself(~regen~+d[;]2); };,Regenerate,NORMAL,,RED,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Blood Regen_upgraded,Lose [heart]<d6>[;] but heal [heal]2|hp per turn for [regen]<double> turns,1,if(simulation){ bonus(-1000); }else{ pierceattackself(d); sfx(~_drain~); inflictself(~regen~+(d*2)[;]2); };,Regenerate,NORMAL,,RED,,,,,0,YES,NO,,,,,,,,,,,,,
Blood Regen_downgraded,Lose [heart]<d6>[;] but heal [heal]1|hp per turn for [regen]<d6> turns,1,if(simulation){ bonus(-1000); }else{ pierceattackself(d); sfx(~_drain~); inflictself(~regen~+d); };,Regenerate,NORMAL,,RED,,,,,0,YES,NO,,,,,,,,,,,,,
Sprinkler,Bump a random dice[;]|repeats <d6> times,1,var poss = []; for(dice in self.dicepool){ if(dice.available() && dice.basevalue < 6){ poss.push(dice); }; }; var x = 0; while(x < d){ if(poss.length == 0){ break; }; x+=1; var r = rand(poss); r.basevalue = r.basevalue+1; r.animatereroll(r.basevalue[;]self.screenposition()[;]0); if(r.basevalue == 6){ poss.remove(r); }; }; if(d-x > 0){ givedice(d-x); };,Megabump,MAX4,,GREEN,change_power,change_power,,,0,YES,NO,,1,,,,,,,,,,,
Sprinkler_upgraded,Bump a random dice[;]|repeats <d6> times,1,var poss = []; for(dice in self.dicepool){ if(dice.available() && dice.basevalue < 6){ poss.push(dice); }; }; var x = 0; while(x < d){ if(poss.length == 0){ break; }; x+=1; var r = rand(poss); r.basevalue = r.basevalue+1; r.animatereroll(r.basevalue[;]self.screenposition()[;]0); if(r.basevalue == 6){ poss.remove(r); }; }; if(d-x > 0){ givedice(d-x); };,Megabump,NORMAL,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Sprinkler_downgraded,Bump a random dice[;]|repeats <d6> times,1,var poss = []; for(dice in self.dicepool){ if(dice.available() && dice.basevalue < 6){ poss.push(dice); }; }; var x = 0; while(x < d){ if(poss.length == 0){ break; }; x+=1; var r = rand(poss); r.basevalue = r.basevalue+1; r.animatereroll(r.basevalue[;]self.screenposition()[;]0); if(r.basevalue == 6){ poss.remove(r); }; }; if(d-x > 0){ givedice(d-x); };,Megabump,MAX2,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Scales of Justdice,Average all your dice values,1,function floordiv(x[;]y){ var t = 0; while(x > 0){ x-=y; t++; }; return(t); }; var tot = 0; var count = 0; var ava=[]; for(dice in self.dicepool){ if(dice.available()){ tot+=dice.basevalue; count+=1; ava.push(dice); }; }; var del = 0; for(dice in ava){ trace(tot); trace(count); trace(~~); del+=0.05; dice.animatereroll(floordiv(tot[;]count)[;]self.screenposition()[;]del); tot-=floordiv(tot[;]count); count-=1; };,Magic Spanner,COUNTDOWN,5,YELLOW,change_power,change_power,,none,0,YES,NO,excludefromrandomlists,,,,,,,,,,,,
Scales of Justdice_upgraded,Average all your dice values|,1,function floordiv(x[;]y){ var t = 0; while(x > 0){ x-=y; t++; }; return(t); }; var tot = 0; var count = 0; var ava=[]; for(dice in self.dicepool){ if(dice.available()){ tot+=dice.basevalue; count+=1; ava.push(dice); }; }; var del = 0; for(dice in ava){ trace(tot); trace(count); trace(~~); del+=0.05; dice.animatereroll(floordiv(tot[;]count)[;]self.screenposition()[;]del); tot-=floordiv(tot[;]count); count-=1; };,Magic Spanner,COUNTDOWN,5,YELLOW,,,,none,-1,YES,NO,excludefromrandomlists,,,,,,,,,,,,
Scales of Justdice_downgraded,No effect,1,,Magic Spanner,COUNTDOWN,5,YELLOW,,,,none,0,YES,NO,excludefromrandomlists,,,,,,,,,,,,
Swedge,Deal [sword]<var:swedge> damage[;] twice|[gray](Reusable),1,if(simulation){attack(self.getvar(~swedge~)); attack(self.getvar(~swedge~));};,Finger Guns,NORMAL,,RED,change_power,change_power,,none,-1,YES,NO,excludefromrandomlists,,self.setvar(~swedge~|0); e.setvar(~anim~|0);,self.setvar(~swedge~|0); e.setvar(~anim~|0);,if(getstatusself(~luck+~) > 0){self.setvar(~swedge~|2);} else if(getstatusself(~luck~) > 0){self.setvar(~swedge~|1);}else{self.setvar(~swedge~|0);}; if(self.getvar(~swedge~) > 0 && e.getvar(~anim~) == 0){sfx(~openchest~); e.setvar(~anim~|1); var h = new elements.Animation(); h.applytoequipment(e); e.animation.push(h); h.addcommand(~flash~|null|0.1); h.addcommand(~textparticle~|~[heal] Lucky!~|10021185); };,if(getstatusself(~luck+~) > 0){self.setvar(~swedge~|2);} else if(getstatusself(~luck~) > 0){self.setvar(~swedge~|1);}else{self.setvar(~swedge~|0);}; if(self.getvar(~swedge~) > 0 && e.getvar(~anim~) == 0){sfx(~openchest~); e.setvar(~anim~|1); var h = new elements.Animation(); h.applytoequipment(e); e.animation.push(h); h.addcommand(~flash~|null|0.1); h.addcommand(~textparticle~|~[heal] Lucky!~|10021185); };,if(getstatusself(~luck+~) > 0){self.setvar(~swedge~|2);} else if(getstatusself(~luck~) > 0){self.setvar(~swedge~|1);}else{self.setvar(~swedge~|0);}; if(self.getvar(~swedge~) > 0 && e.getvar(~anim~) == 0){sfx(~openchest~); e.setvar(~anim~|1); var h = new elements.Animation(); h.applytoequipment(e); e.animation.push(h); h.addcommand(~flash~|null|0.1); h.addcommand(~textparticle~|~[heal] Lucky!~|10021185); };,,self.setvar(~swedge~|0); e.setvar(~anim~|0);,if(simulation){}else{function makespike(x|y|delay){var spike = new elements.Equipment(~MF Blank Equipment~); spike.temporary_thisturnonly  = true; self.equipment.push(spike); spike.show=true; spike.width = 400; spike.x = x; spike.y = y+200; spike.height=400; spike.script = ~attack(self.getvar(\~swedge\~)); sfxdamage(target|self.getvar(\~swedge\~));~; spike.fulldescription = ~~; spike.displayname = ~~; spike.changecolour(~RED~); spike.doequipmentaction(self|target|(self.isplayer ? 1 : -1)|[]|delay|true); spike.animate(~flashandshake~);}; makespike(e.x + (e.width)/2 - 200|e.y+(self.isplayer ? 200 : -200)|0.1); makespike(e.x + (e.width)/2 - 200|e.y+(self.isplayer ? 200 : -200)|0.2);};,,,
Swedge_upgraded,Deal [sword]<var:swedge> damage[;] thrice|[gray](Reusable),1,if(simulation){attack(self.getvar(~swedge~)); attack(self.getvar(~swedge~)); attack(self.getvar(~swedge~));};,Finger Guns,NORMAL,,RED,,,,none,-1,YES,NO,excludefromrandomlists,,self.setvar(~swedge~|0); e.setvar(~anim~|0);,self.setvar(~swedge~|0); e.setvar(~anim~|0);,if(getstatusself(~luck+~) > 0){self.setvar(~swedge~|2);} else if(getstatusself(~luck~) > 0){self.setvar(~swedge~|1);}else{self.setvar(~swedge~|0);}; if(self.getvar(~swedge~) > 0 && e.getvar(~anim~) == 0){sfx(~openchest~); e.setvar(~anim~|1); var h = new elements.Animation(); h.applytoequipment(e); e.animation.push(h); h.addcommand(~flash~|null|0.1); h.addcommand(~textparticle~|~[heal] Lucky!~|10021185); };,if(getstatusself(~luck+~) > 0){self.setvar(~swedge~|2);} else if(getstatusself(~luck~) > 0){self.setvar(~swedge~|1);}else{self.setvar(~swedge~|0);}; if(self.getvar(~swedge~) > 0 && e.getvar(~anim~) == 0){sfx(~openchest~); e.setvar(~anim~|1); var h = new elements.Animation(); h.applytoequipment(e); e.animation.push(h); h.addcommand(~flash~|null|0.1); h.addcommand(~textparticle~|~[heal] Lucky!~|10021185); };,if(getstatusself(~luck+~) > 0){self.setvar(~swedge~|2);} else if(getstatusself(~luck~) > 0){self.setvar(~swedge~|1);}else{self.setvar(~swedge~|0);}; if(self.getvar(~swedge~) > 0 && e.getvar(~anim~) == 0){sfx(~openchest~); e.setvar(~anim~|1); var h = new elements.Animation(); h.applytoequipment(e); e.animation.push(h); h.addcommand(~flash~|null|0.1); h.addcommand(~textparticle~|~[heal] Lucky!~|10021185); };,,self.setvar(~swedge~|0); e.setvar(~anim~|0);,if(simulation){}else{function makespike(x|y|delay){var spike = new elements.Equipment(~MF Blank Equipment~); spike.temporary_thisturnonly  = true; self.equipment.push(spike); spike.show=true; spike.width = 400; spike.x = x; spike.y = y+200; spike.height=400; spike.script = ~attack(self.getvar(\~swedge\~)); sfxdamage(target|self.getvar(\~swedge\~));~; spike.fulldescription = ~~; spike.displayname = ~~; spike.changecolour(~RED~); spike.doequipmentaction(self|target|(self.isplayer ? 1 : -1)|[]|delay|true); spike.animate(~flashandshake~);}; makespike(e.x + (e.width)/2 - 200|e.y+(self.isplayer ? 200 : -200)|0.1); makespike(e.x + (e.width)/2 - 200|e.y+(self.isplayer ? 400 : -400)|0.2); makespike(e.x + (e.width)/2 - 200|e.y+(self.isplayer ? 400 : -400)|0.3);};,,,
Swedge_downgraded,Deal [sword]<var:swedge> damage,1,if(simulation){attack(self.getvar(~swedge~));};,Finger Guns,NORMAL,,RED,,,,none,0,YES,NO,excludefromrandomlists,,self.setvar(~swedge~|0); e.setvar(~anim~|0);,self.setvar(~swedge~|0); e.setvar(~anim~|0);,if(getstatusself(~luck+~) > 0){self.setvar(~swedge~|2);} else if(getstatusself(~luck~) > 0){self.setvar(~swedge~|1);}else{self.setvar(~swedge~|0);}; if(self.getvar(~swedge~) > 0 && e.getvar(~anim~) == 0){sfx(~openchest~); e.setvar(~anim~|1); var h = new elements.Animation(); h.applytoequipment(e); e.animation.push(h); h.addcommand(~flash~|null|0.1); h.addcommand(~textparticle~|~[heal] Lucky!~|10021185); };,if(getstatusself(~luck+~) > 0){self.setvar(~swedge~|2);} else if(getstatusself(~luck~) > 0){self.setvar(~swedge~|1);}else{self.setvar(~swedge~|0);}; if(self.getvar(~swedge~) > 0 && e.getvar(~anim~) == 0){sfx(~openchest~); e.setvar(~anim~|1); var h = new elements.Animation(); h.applytoequipment(e); e.animation.push(h); h.addcommand(~flash~|null|0.1); h.addcommand(~textparticle~|~[heal] Lucky!~|10021185); };,if(getstatusself(~luck+~) > 0){self.setvar(~swedge~|2);} else if(getstatusself(~luck~) > 0){self.setvar(~swedge~|1);}else{self.setvar(~swedge~|0);}; if(self.getvar(~swedge~) > 0 && e.getvar(~anim~) == 0){sfx(~openchest~); e.setvar(~anim~|1); var h = new elements.Animation(); h.applytoequipment(e); e.animation.push(h); h.addcommand(~flash~|null|0.1); h.addcommand(~textparticle~|~[heal] Lucky!~|10021185); };,,self.setvar(~swedge~|0); e.setvar(~anim~|0);,if(simulation){}else{function makespike(x|y|delay){var spike = new elements.Equipment(~MF Blank Equipment~); spike.temporary_thisturnonly  = true; self.equipment.push(spike); spike.show=true; spike.width = 400; spike.x = x; spike.y = y+200; spike.height=400;spike.script = ~attack(self.getvar(\~swedge\~)); sfxdamage(target|self.getvar(\~swedge\~));~; spike.fulldescription = ~~; spike.displayname = ~~; spike.changecolour(~RED~); spike.doequipmentaction(self|target|(self.isplayer ? 1 : -1)|[]|delay|true); spike.animate(~flashandshake~);}; makespike(e.x + (e.width)/2 - 200|e.y+(self.isplayer ? 200 : -200)|0.1); };,,,
Belated Delivery,In [jinx]<d6> turns[;]|get <d6> new dice,1,var dicearray = []; for(x in 0...d){ dicearray.push(rand([1[;]2[;]3[;]4[;]5[;]6])); }; jinx(~Delivery!~[;]~get %VAR% new dice~[;]~Get %VAR% extra dice~[;]~for(x in ~+dicearray+~){inflict(\~stash\~+x);}; sfx(\~_thinghappens\~);~[;]self[;]target[;]d[;]d); sfx(~_magic~);,Magic Six,MAX4,,PINK,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Belated Delivery_upgraded,In [jinx]<d6> turns[;]|get <d6> new dice,1,var dicearray = []; for(x in 0...d){ dicearray.push(rand([1[;]2[;]3[;]4[;]5[;]6])); }; jinx(~Delivery!~[;]~get %VAR% new dice~[;]~Get %VAR% extra dice~[;]~for(x in ~+dicearray+~){inflict(\~stash\~+x);}; sfx(\~_thinghappens\~);~[;]self[;]target[;]d[;]d); sfx(~_magic~);,Magic Six,NORMAL,,PINK,,,,,0,YES,NO,,,,,,,,,,,,,
Belated Delivery_downgraded,In [jinx]<d6> turns[;]|get <d6> new dice,1,var dicearray = []; for(x in 0...d){ dicearray.push(rand([1[;]2[;]3[;]4[;]5[;]6])); }; jinx(~Delivery!~[;]~get %VAR% new dice~[;]~Get %VAR% extra dice~[;]~for(x in ~+dicearray+~){inflict(\~stash\~+x);}; sfx(\~_thinghappens\~);~[;]self[;]target[;]d[;]d); sfx(~_magic~);,Magic Six,MAX2,,PINK,,,,,0,YES,NO,,,,,,,,,,,,,
Auto Turret,Deal [sword]3 damage at the|start of each turn,1,,Bubble Gun,,,RED,change_power,change_power,,none,0,NO,NO,excludefromrandomlists|cannotreuse|avoidshock|avoidaltpoison,,,,,if(simulation){}else{function makespike(x|y|delay){var spike = new elements.Equipment(~MF Blank Equipment~); spike.temporary_thisturnonly  = true; self.equipment.push(spike); spike.show=true; spike.width = 400; spike.x = x; spike.y = y+200; spike.height=400; spike.script = ~attack(3); sfxdamage(target|3);~; spike.fulldescription = ~~; spike.displayname = ~~; spike.changecolour(~RED~); spike.doequipmentaction(self|target|(self.isplayer ? 1 : -1)|[]|delay|true); spike.animate(~flashandshake~);}; makespike(e.x + (e.width)/2 - 200|e.y+(self.isplayer ? 100 : -100)|-0.2); };,,,,,,,
Auto Turret_upgraded,Deal [sword]4 damage at the|start of each turn,1,,Bubble Gun,,,RED,,,,none,0,NO,NO,excludefromrandomlists|cannotreuse|avoidshock|avoidaltpoison,,,,,if(simulation){}else{function makespike(x|y|delay){var spike = new elements.Equipment(~MF Blank Equipment~); spike.temporary_thisturnonly  = true; self.equipment.push(spike); spike.show=true; spike.width = 400; spike.x = x; spike.y = y+200; spike.height=400; spike.script = ~attack(4); sfxdamage(target|4);~; spike.fulldescription = ~~; spike.displayname = ~~; spike.changecolour(~RED~); spike.doequipmentaction(self|target|(self.isplayer ? 1 : -1)|[]|delay|true); spike.animate(~flashandshake~);}; makespike(e.x + (e.width)/2 - 200|e.y+(self.isplayer ? 100 : -100)|-0.2); };,,,,,,,
Auto Turret_downgraded,Deal [sword]2 damage at the|start of each turn,1,,Bubble Gun,,,RED,,,,none,0,NO,NO,excludefromrandomlists|cannotreuse|avoidshock|avoidaltpoison,,,,,if(simulation){}else{function makespike(x|y|delay){var spike = new elements.Equipment(~MF Blank Equipment~); spike.temporary_thisturnonly  = true; self.equipment.push(spike); spike.show=true; spike.width = 400; spike.x = x; spike.y = y+200; spike.height=400; spike.script = ~attack(2); sfxdamage(target|2);~; spike.fulldescription = ~~; spike.displayname = ~~; spike.changecolour(~RED~); spike.doequipmentaction(self|target|(self.isplayer ? 1 : -1)|[]|delay|true); spike.animate(~flashandshake~);}; makespike(e.x + (e.width)/2 - 200|e.y+(self.isplayer ? 100 : -100)|-0.2); };,,,,,,,
Crescent Pendant,Roll a six[;] return lower dice,1,var x = actualdice[0].basevalue; if(actualdice[1].basevalue < x){ x = actualdice[1].basevalue; }; givedice([6[;]x]);,Magic Six,NORMAL|NORMAL,6,GREEN,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Crescent Pendant_upgraded,Roll a six[;] return first dice,1,givedice([6[;]actualdice[0].basevalue]);,Magic Six,NORMAL|NORMAL,6,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Crescent Pendant_downgraded,Roll a six,1,givedice([6]);,Magic Six,NORMAL|NORMAL,6,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Cleaver,Deal [sword]10 damage|Cooldown of 1 turn,1,attack(10); sfxdamage(target[;]10); e.availablenextturn = false; e.unavailabledetails = [~On cooldown!~];,Throwing Knife,COUNTDOWN,10,RED,change_power,change_power,,none,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Cleaver_upgraded,Deal [sword]13 damage|Cooldown of 1 turn,1,attack(13); sfxdamage(target[;]13); e.availablenextturn = false; e.unavailabledetails = [~On cooldown!~];,Throwing Knife,COUNTDOWN,10,RED,,,,none,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
